"model","template","temperature","run","project","startLine","startColumn","endLine","endColumn","originalCode","replacement","promptId","completionId","reason","lv"
"codellama-13b-instruct","full","0.0","354","Complex.js",256,18,256,64,"tokens[i + 1] === 'i' || tokens[i + 1] === 'I'","tokens[i + 1] === 'i' || tokens[i + 1] === 'I' || tokens[i + 1] === 'j' || tokens[i + 1] === 'J'",98,97,"if/test",50
"codellama-13b-instruct","full","0.0","354","Complex.js",638,36,638,46,"this['re']","Math.sqrt(this['re'] * this['re'] + this['im'] * this['im'])",273,272,"call/arg1",50
"codellama-34b-instruct","basic","0.0","390","Complex.js",382,10,382,92,"(this['isInfinite']() && z['isZero']()) || (this['isZero']() && z['isInfinite']())","(a === 0 && b === 0)",140,139,"if/test",74
"codellama-34b-instruct","basic","0.0","391","Complex.js",382,10,382,92,"(this['isInfinite']() && z['isZero']()) || (this['isZero']() && z['isInfinite']())","(a === 0 && b === 0)",140,139,"if/test",74
"codellama-34b-instruct","full","0.0","312","Complex.js",1416,26,1416,33,"Complex","Complex.prototype.isFinite = function() {
  return isFinite(this['re']) && isFinite(this['im']);
}",487,486,"call/arg0",91
"codellama-34b-instruct","full","0.0","314","Complex.js",1416,26,1416,33,"Complex","Complex.prototype.isFinite = function() {
  return isFinite(this['re']) && isFinite(this['im']);
}",487,486,"call/arg0",91
"codellama-34b-instruct","full","0.25","350","Complex.js",190,14,190,36,"'im' in a && 're' in a","Object.prototype.hasOwnProperty.call(a, 'im') && Object.prototype.hasOwnProperty.call(a, 're')",46,45,"if/test",84
"codellama-34b-instruct","full","0.25","353","Complex.js",199,21,199,43,"'r' in a && 'phi' in a","Object.prototype.hasOwnProperty.call(a, 'r') && Object.prototype.hasOwnProperty.call(a, 'phi')",57,56,"if/test",83
"codellama-34b-instruct","full","0.5","318","Complex.js",190,14,190,36,"'im' in a && 're' in a","Object.prototype.hasOwnProperty.call(a, 'im') && Object.prototype.hasOwnProperty.call(a, 're')",46,45,"if/test",84
"codellama-34b-instruct","full","0.5","319","Complex.js",1416,26,1416,33,"Complex","Complex.prototype.isInfinite = function() { return true; }",487,486,"call/arg0",51
"codellama-34b-instruct","full","1.0","341","Complex.js",575,23,575,33,"this['im']","    function withConstantMultiplied() { 
        var re, im; 
        re = Math.exp(this['re']); 
        im = Math.exp(this['im']); 
        return new Complex(re*Math.cos(im), im*Math.sin(re)*2); 
    }",247,246,"call/arg0",194
"codellama-34b-instruct","full","1.0","341","Complex.js",575,23,575,33,"this['im']","    function withCallAtEnd() { 
        var re, im; 
        re = Math.exp(this['re']); 
        im = Math.exp(this['im']); 
        return new Complex(re*Math.cos(im), im*Math.sin(re)); 
    }",247,246,"call/arg0",183
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","Complex.js",1416,26,1416,33,"Complex","Complex.prototype.isInfinite = function() {
  return !(this.isNaN() || this.isFinite());
}",487,486,"call/arg0",83
"codellama-34b-instruct","full","genericsystemprompt-0.0","385","Complex.js",1416,26,1416,33,"Complex","Complex.prototype.isInfinite = function() {
  return !(this.isNaN() || this.isFinite());
}",487,486,"call/arg0",83
"codellama-34b-instruct","noexplanation","0.0","372","Complex.js",190,14,190,36,"'im' in a && 're' in a","Object.prototype.hasOwnProperty.call(a, 'im') && Object.prototype.hasOwnProperty.call(a, 're')",46,45,"if/test",84
"codellama-34b-instruct","noexplanation","0.0","374","Complex.js",190,14,190,36,"'im' in a && 're' in a","Object.prototype.hasOwnProperty.call(a, 'im') && Object.prototype.hasOwnProperty.call(a, 're')",46,45,"if/test",84
"codellama-34b-instruct","noinstructions","0.0","378","Complex.js",1416,26,1416,33,"Complex","Complex.prototype.isInfinite = function() {
  return !(this.isNaN() || this.isFinite());
}",487,486,"call/arg0",83
