project,fileName,line,column,killed.0.0,survived.0.0,timeout.0.0,replacements.0.0,killed.0.25,survived.0.25,timeout.0.25,replacements.0.25,killed.0.5,survived.0.5,timeout.0.5,replacements.0.5,killed.0.75,survived.0.75,timeout.0.75,replacements.0.75,killed.1.0,survived.1.0,timeout.1.0,replacements.1.0
countries-and-timezones,src/build-country.js,7,33,3,0,0,"data.timezones[id].offset
data.timezones[id].name
data.timezones[id]",3,0,0,"{}
null
undefined",2,0,0,"data.timezones[id].c
data.timezones[id]",,,,,,,,
countries-and-timezones,src/build-country.js,5,7,2,1,0,"name !== 'string'
name.length === 0
name === undefined",3,0,0,"name.length === 0
!name.trim()
name === null",2,1,0,"name.toLowerCase().includes("" "")
name === undefined
name.trim().length === 0",,,,,2,1,0,"name !== ''
name !== undefined
!data.countries[id]"
countries-and-timezones,src/build-country.js,18,7,0,3,0,"timezonesMap === undefined
typeof timezonesMap === 'undefined'
timezonesMap !== null",1,2,0,"timezonesMap === undefined
timezonesMap.length === 0
timezonesMap !== null",2,1,0,"timezonesMap === null
timezonesMap = {}
timezonesMap.current = []",,,,,1,2,0,"typeof timezonesMap !== 'undefined' && !timezonesMap
!timezonesMap && {}
timezonesMap || {}"
countries-and-timezones,src/build-country.js,18,55,3,0,0,"data.timezones[id]
data.timezones[a]
data.timezones[id].r",3,0,0,"data.timezones[id]
data.timezones[a]
data.timezones[c]",3,0,0,"null
undefined
{}",,,,,3,0,0,"buildTimezonesMap(data.timezones)
buildTimezonesMap(data.timezones.all)
buildTimezonesMap(data.timezones.the)"
countries-and-timezones,src/build-country.js,23,22,3,0,0,"data.timezones.filter(tz => tz.r !== undefined)
data.timezones.slice(0)
data.timezones.map(tz => tz.r !== undefined ? tz : null)",3,0,0,"data.timezones.length
data.timezones[0]
data.timezones.filter(tz => tz.r === undefined)",3,0,0,"data.timezones.slice()
data.timezones.filter(tz => tz.r !== undefined)
data.timezones.map(tz => tz.r === undefined ? tz : null)",,,,,3,0,0,"data.timezones.slice()
[]
data.timezones.reverse()"
countries-and-timezones,src/build-country.js,29,9,3,0,0,"countries.length === 0
countries.some(country => country === undefined)
countries.includes(undefined)",3,0,0,"countries.length === 0
countries.includes(undefined)
countries.some(country => country === undefined)",3,0,0,"countries.length === 0
!countries.includes(id)
countries.includes(id)",,,,,3,0,0,"!tzMap
countries[0]
result[country].all.length"
countries-and-timezones,src/build-country.js,32,11,2,1,0,"result[country] !== undefined
result[country] === null
result[country] === undefined",1,2,0,"result[country] !== undefined
result[country] === undefined
result[country] == undefined",2,1,0,"result[country] !== undefined
result[country] === null
result[country] === undefined",,,,,2,1,0,"result[country] === 'DEFAULT'
result[country] !== null
result[country] === undefined"
countries-and-timezones,src/build-country.js,32,29,3,0,0,"Object.assign(result, {
  [country]: {
    current: [id],
    all: []
  }
})
Object.assign(result, {
  [country]: {
    current: [],
    all: [id]
  }
})
Object.assign(result, {
  [country]: {
    current: [id],
    all: [id]
  }
})",3,0,0,"Object.assign(result, {
  [country]: {
    current: [id],
    all: []
  }
})
Object.assign(result, {
  [country]: {
    current: [id],
    all: [id]
  }
})
Object.assign(result, {
  [country]: {
    current: [],
    all: [id]
  }
})",2,0,0,"Object.assign(result, {
  [country]: {
    current: undefined,
    all: []
  }
})
Object.assign(result, {
  [country]: {
    current: [],
    all: undefined
  }
})",,,,,2,0,0,"Object.assign(result, {
  [country.split(' ').slice(0, -1).join(' ')]: {
    current: [],
    all: []
  }
})
Object.assign(result, {
  [country.toLowerCase()]: {
    current: [],
    all: []
  }
})"
countries-and-timezones,src/build-country.js,32,51,3,0,0,"{
  [country]: {
    current: [id],
    all: []
  }
}
{
  [country]: {
    current: [id],
    all: [id]
  }
}
{
  [country]: {
    current: [],
    all: [id]
  }
}",1,0,0,"{
  [country]: {
    current: [id],
    all: [id]
  }
}",1,0,0,"{
  [country]: {
    current: [id],
    all: [id]
  }
}",,,,,2,0,0,"{
  [country]: {
    current: [1, 2],
    all: [3, 4]
  }
}
{
  [country]: {
    current: [1, 2],
    all: []
  }
}"
countries-and-timezones,src/build-country.js,33,11,3,0,0,"tz.r !== undefined
tz.r === null
tz.r === 'foo'",3,0,0,"tz.r !== undefined
tz.r === null
tz.r === ''",3,0,0,"tz.r === null
tz.r !== undefined
tz.r !== null",,,,,1,2,0,"tz.r != undefined
!tz.r
tz.r == null"
