"model","template","temperature","run","project","startLine","startColumn","endLine","endColumn","originalCode","replacement","promptId","completionId","reason","lv"
"codellama-13b-instruct","full","0.0","354","Complex.js",41,64,41,66,"-x","x",6,5,"call/arg0",1
"codellama-13b-instruct","full","0.0","354","Complex.js",45,60,45,62,"-x","x",12,11,"call/arg0",1
"codellama-34b-instruct","basic","0.0","390","Complex.js",93,21,93,22,"x","a",17,16,"call/arg0",1
"codellama-34b-instruct","basic","0.0","390","Complex.js",94,21,94,22,"y","b",19,18,"call/arg0",1
"codellama-34b-instruct","full","0.0","312","Complex.js",45,60,45,62,"-x","-y",12,11,"call/arg0",1
"codellama-34b-instruct","full","0.0","312","Complex.js",45,60,45,62,"-x","-a",12,11,"call/arg0",1
"codellama-34b-instruct","full","0.25","348","Complex.js",41,64,41,66,"-x","-y",6,5,"call/arg0",1
"codellama-34b-instruct","full","0.25","348","Complex.js",41,64,41,66,"-x","-a",6,5,"call/arg0",1
"codellama-34b-instruct","full","0.5","318","Complex.js",45,60,45,62,"-x","-1",12,11,"call/arg0",1
"codellama-34b-instruct","full","0.5","318","Complex.js",57,8,57,23,"-b > x || x > b","-b < x || x > b",13,12,"if/test",1
"codellama-34b-instruct","full","1.0","341","Complex.js",41,64,41,66,"-x","-y",6,5,"call/arg0",1
"codellama-34b-instruct","full","1.0","341","Complex.js",45,20,45,21,"x","a",8,7,"call/arg0",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","Complex.js",41,64,41,66,"-x","x",6,5,"call/arg0",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","Complex.js",45,60,45,62,"-x","-y",12,11,"call/arg0",1
"codellama-34b-instruct","noexplanation","0.0","372","Complex.js",41,64,41,66,"-x","x",6,5,"call/arg0",1
"codellama-34b-instruct","noexplanation","0.0","372","Complex.js",45,60,45,62,"-x","x",12,11,"call/arg0",1
"codellama-34b-instruct","noinstructions","0.0","378","Complex.js",41,64,41,66,"-x","x",6,5,"call/arg0",1
"codellama-34b-instruct","noinstructions","0.0","378","Complex.js",45,60,45,62,"-x","x",12,11,"call/arg0",1
"codellama-34b-instruct","onemutation","0.0","365","Complex.js",45,60,45,62,"-x","-y",12,11,"call/arg0",1
"codellama-34b-instruct","onemutation","0.0","365","Complex.js",93,21,93,22,"x","y",17,16,"call/arg0",1
"mixtral-8x7b-instruct","full","0.0","360","Complex.js",41,20,41,21,"x","1",2,1,"call/arg0",1
"mixtral-8x7b-instruct","full","0.0","360","Complex.js",41,50,41,51,"x","1",4,3,"call/arg0",1
"codellama-13b-instruct","full","0.0","354","countries-and-timezones",32,10,32,26,"!result[country]","result[country]",10,9,"if/test",1
"codellama-13b-instruct","full","0.0","354","countries-and-timezones",33,10,33,28,"tz.r === undefined","tz.r !== undefined",15,14,"if/test",1
"codellama-34b-instruct","basic","0.0","390","countries-and-timezones",32,6,32,22,"!timezones[name]","timezones[name]",69,68,"if/test",1
"codellama-34b-instruct","basic","0.0","390","countries-and-timezones",39,34,39,42,"timezone","timezones",78,77,"call/arg0",1
"codellama-34b-instruct","full","0.0","312","countries-and-timezones",33,10,33,28,"tz.r === undefined","tz.r !== undefined",15,14,"if/test",1
"codellama-34b-instruct","full","0.0","312","countries-and-timezones",14,37,14,41,"tz.d","tz.c",22,21,"call/arg0",1
"codellama-34b-instruct","full","0.25","348","countries-and-timezones",33,10,33,28,"tz.r === undefined","tz.r !== undefined",15,14,"if/test",1
"codellama-34b-instruct","full","0.25","348","countries-and-timezones",30,27,30,38,"offset / 60","offset % 60",29,28,"call/arg0",1
"codellama-34b-instruct","full","0.5","318","countries-and-timezones",33,10,33,28,"tz.r === undefined","tz.r !== undefined",15,14,"if/test",1
"codellama-34b-instruct","full","0.5","318","countries-and-timezones",25,6,25,16,"timezone.r","!timezone.r",27,26,"if/test",1
"codellama-34b-instruct","full","1.0","341","countries-and-timezones",14,37,14,41,"tz.d","tz.c",22,21,"call/arg0",1
"codellama-34b-instruct","full","1.0","341","countries-and-timezones",30,27,30,38,"offset / 60","offset % 60",29,28,"call/arg0",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","countries-and-timezones",33,10,33,28,"tz.r === undefined","tz.r !== undefined",15,14,"if/test",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","countries-and-timezones",30,27,30,38,"offset / 60","offset % 60",29,28,"call/arg0",1
"codellama-34b-instruct","noexplanation","0.0","372","countries-and-timezones",33,10,33,28,"tz.r === undefined","tz.r !== undefined",15,14,"if/test",1
"codellama-34b-instruct","noexplanation","0.0","372","countries-and-timezones",14,20,14,36,"Number.isInteger","!Number.isInteger",21,20,"call/callee",1
"codellama-34b-instruct","noinstructions","0.0","378","countries-and-timezones",18,6,18,19,"!timezonesMap","timezonesMap",4,3,"if/test",1
"codellama-34b-instruct","noinstructions","0.0","378","countries-and-timezones",32,10,32,26,"!result[country]","result[country]",10,9,"if/test",1
"codellama-34b-instruct","onemutation","0.0","365","countries-and-timezones",32,10,32,26,"!result[country]","result[country]",10,9,"if/test",1
"codellama-34b-instruct","onemutation","0.0","365","countries-and-timezones",33,10,33,28,"tz.r === undefined","tz.r !== undefined",15,14,"if/test",1
"mixtral-8x7b-instruct","full","0.0","360","countries-and-timezones",14,37,14,41,"tz.d","tz.u",22,21,"call/arg0",1
"mixtral-8x7b-instruct","full","0.0","360","countries-and-timezones",5,35,5,49,"data.timezones","data.timeZones",37,36,"call/arg0",1
"codellama-13b-instruct","full","0.0","354","crawler-url-parser",36,39,36,45,"/#.*$/","/^#.*$/",15,14,"call/arg0",1
"codellama-13b-instruct","full","0.0","354","crawler-url-parser",36,47,36,49,"''","' '",16,15,"call/arg1",1
"codellama-34b-instruct","basic","0.0","390","crawler-url-parser",78,60,78,63,"""=""","""&""",67,66,"call/arg0",1
"codellama-34b-instruct","basic","0.0","390","crawler-url-parser",104,8,104,35,"!tmpUrl.text.includes(text)","tmpUrl.text.includes(text)",103,102,"if/test",1
"codellama-34b-instruct","full","0.0","312","crawler-url-parser",32,5,32,55,"currentUrlStr && _has_illegal_chars(currentUrlStr)","currentUrlStr && !_has_illegal_chars(currentUrlStr)",4,3,"if/test",1
"codellama-34b-instruct","full","0.0","312","crawler-url-parser",36,39,36,45,"/#.*$/","/^#.*$/",15,14,"call/arg0",1
"codellama-34b-instruct","full","0.25","348","crawler-url-parser",32,5,32,55,"currentUrlStr && _has_illegal_chars(currentUrlStr)","!currentUrlStr && _has_illegal_chars(currentUrlStr)",4,3,"if/test",1
"codellama-34b-instruct","full","0.25","348","crawler-url-parser",33,5,33,49,"baseUrlStr && _has_illegal_chars(baseUrlStr)","baseUrlStr && !_has_illegal_chars(baseUrlStr)",7,6,"if/test",1
"codellama-34b-instruct","full","0.5","318","crawler-url-parser",32,22,32,40,"_has_illegal_chars","!_has_illegal_chars",5,4,"call/callee",1
"codellama-34b-instruct","full","0.5","318","crawler-url-parser",36,39,36,45,"/#.*$/","/^#.*$/",15,14,"call/arg0",1
"codellama-34b-instruct","full","1.0","341","crawler-url-parser",31,5,31,41,"typeof currentUrlStr === 'undefined'","typeof currentUrlStr !== 'undefined'",3,2,"if/test",1
"codellama-34b-instruct","full","1.0","341","crawler-url-parser",36,47,36,49,"''","'#'",16,10,"call/arg1",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","crawler-url-parser",32,5,32,55,"currentUrlStr && _has_illegal_chars(currentUrlStr)","currentUrlStr && !_has_illegal_chars(currentUrlStr)",4,3,"if/test",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","crawler-url-parser",36,39,36,45,"/#.*$/","/^#.*$/",15,14,"call/arg0",1
"codellama-34b-instruct","noexplanation","0.0","372","crawler-url-parser",32,5,32,55,"currentUrlStr && _has_illegal_chars(currentUrlStr)","currentUrlStr && !_has_illegal_chars(currentUrlStr)",4,3,"if/test",1
"codellama-34b-instruct","noexplanation","0.0","372","crawler-url-parser",36,39,36,45,"/#.*$/","/^#.*$/",15,14,"call/arg0",1
"codellama-34b-instruct","noinstructions","0.0","378","crawler-url-parser",32,5,32,55,"currentUrlStr && _has_illegal_chars(currentUrlStr)","currentUrlStr && !_has_illegal_chars(currentUrlStr)",4,3,"if/test",1
"codellama-34b-instruct","noinstructions","0.0","378","crawler-url-parser",36,39,36,45,"/#.*$/","/^#.*$/",15,14,"call/arg0",1
"codellama-34b-instruct","onemutation","0.0","365","crawler-url-parser",32,5,32,55,"currentUrlStr && _has_illegal_chars(currentUrlStr)","currentUrlStr && !_has_illegal_chars(currentUrlStr)",4,3,"if/test",1
"codellama-34b-instruct","onemutation","0.0","365","crawler-url-parser",36,39,36,45,"/#.*$/","/^#.*$/",15,14,"call/arg0",1
"mixtral-8x7b-instruct","full","0.0","360","crawler-url-parser",36,39,36,45,"/#.*$/","/#.+$/",15,14,"call/arg0",1
"mixtral-8x7b-instruct","full","0.0","360","crawler-url-parser",36,17,36,50,"currentUrlStr.replace(/#.*$/, '')","currentUrlStr.replace(/#.*/, '')",17,16,"call/allArgs",1
"codellama-13b-instruct","full","0.0","354","delta",20,31,20,32,"b","a",4,3,"call/arg0",1
"codellama-13b-instruct","full","0.0","354","delta",20,31,20,32,"b","c",4,3,"call/arg0",1
"codellama-34b-instruct","basic","0.0","390","delta",20,31,20,32,"b","a",4,3,"call/arg0",1
"codellama-34b-instruct","basic","0.0","390","delta",23,12,23,35,"attributes[key] != null","attributes[key] !== null",8,7,"if/test",1
"codellama-34b-instruct","full","0.0","312","delta",20,31,20,32,"b","a",4,3,"call/arg0",1
"codellama-34b-instruct","full","0.0","312","delta",21,8,21,17,"!keepNull","keepNull",5,4,"if/test",1
"codellama-34b-instruct","full","0.25","348","delta",20,31,20,32,"b","a",4,3,"call/arg0",1
"codellama-34b-instruct","full","0.25","348","delta",21,8,21,17,"!keepNull","keepNull",5,4,"if/test",1
"codellama-34b-instruct","full","0.5","318","delta",20,31,20,32,"b","a",4,3,"call/arg0",1
"codellama-34b-instruct","full","0.5","318","delta",21,8,21,17,"!keepNull","keepNull",5,4,"if/test",1
"codellama-34b-instruct","full","1.0","341","delta",20,31,20,32,"b","a",4,2,"call/arg0",1
"codellama-34b-instruct","full","1.0","341","delta",29,4,33,5,"for (const key in a) {
      if (a[key] !== undefined && b[key] === undefined) {
        attributes[key] = a[key];
      }
    }","for (const key in b) {
      if (a[key] !== undefined && b[key] === undefined) {
        attributes[key] = a[key];
      }
    }",11,6,"for-in/header",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","delta",20,31,20,32,"b","a",4,3,"call/arg0",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","delta",21,8,21,17,"!keepNull","keepNull",5,4,"if/test",1
"codellama-34b-instruct","noexplanation","0.0","372","delta",20,31,20,32,"b","a",4,3,"call/arg0",1
"codellama-34b-instruct","noexplanation","0.0","372","delta",21,8,21,17,"!keepNull","keepNull",5,4,"if/test",1
"codellama-34b-instruct","noinstructions","0.0","378","delta",20,31,20,32,"b","a",4,3,"call/arg0",1
"codellama-34b-instruct","noinstructions","0.0","378","delta",21,8,21,17,"!keepNull","keepNull",5,4,"if/test",1
"codellama-34b-instruct","onemutation","0.0","365","delta",20,31,20,32,"b","a",4,3,"call/arg0",1
"codellama-34b-instruct","onemutation","0.0","365","delta",21,8,21,17,"!keepNull","keepNull",5,4,"if/test",1
"mixtral-8x7b-instruct","full","0.0","360","delta",20,31,20,32,"b","a",4,3,"call/arg0",1
"mixtral-8x7b-instruct","full","0.0","360","delta",92,10,92,30,"a[key] === undefined","a[key] == undefined",39,38,"if/test",1
"codellama-13b-instruct","full","0.0","354","image-downloader",14,8,14,35,"!path.extname(options.dest)","path.extname(options.dest)",8,7,"if/test",1
"codellama-13b-instruct","full","0.0","354","image-downloader",24,6,24,36,"!path.isAbsolute(options.dest)","path.isAbsolute(options.dest)",19,18,"if/test",1
"codellama-34b-instruct","basic","0.0","392","image-downloader",24,6,24,36,"!path.isAbsolute(options.dest)","path.isAbsolute(options.dest)",19,18,"if/test",1
"codellama-34b-instruct","basic","0.0","393","image-downloader",24,6,24,36,"!path.isAbsolute(options.dest)","path.isAbsolute(options.dest)",19,18,"if/test",1
"codellama-34b-instruct","full","0.0","312","image-downloader",13,6,13,21,"extractFilename","!extractFilename",7,6,"if/test",1
"codellama-34b-instruct","full","0.0","312","image-downloader",24,6,24,36,"!path.isAbsolute(options.dest)","path.isAbsolute(options.dest)",19,18,"if/test",1
"codellama-34b-instruct","full","0.25","348","image-downloader",13,6,13,21,"extractFilename","!extractFilename",7,6,"if/test",1
