"project","file","id","line","column","original","replacement","coding","temperature"
"Complex.js","complex.js",251,256,19,"tokens[i + 1] === 'i' || tokens[i + 1] === 'I'","tokens[i + 1] === 'i' || tokens[i + 1] === 'I' || tokens[i + 1] === 'j' || tokens[i + 1] === 'J'","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",948,1010,13,"cosh","sinh","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",1052,1230,19,"this['im'] * places","this['im'] * places + 1","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",939,1007,24,"2 * b","2 * a","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",730,730,28,"b","b + 1","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",307,339,11,"this['isInfinite']","this['isNaN']","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",1074,1244,9,"Math.floor","Math.abs","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",748,745,26,"2 * b","b * b","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",166,200,18,"Number.isFinite","Number.isSafeInteger","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",963,1011,19,"a","a + 1","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",1038,1226,25,"10","Infinity","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",381,469,11,"z['isZero']()","z['isNaN']()","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",1001,1086,37,"temp","temp / 2","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",739,731,23,"sinh","tanh","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",1066,1243,9,"Math.floor","Math.ceil","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",275,281,27,"isNaN","Number.isNaN","Equivalent","LLMorpheus"
"Complex.js","complex.js",933,993,32,"b","-b","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",1065,1240,29,"places || 0","places ? 0 : 1","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",799,843,42,"a","a + 1","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",140,194,34,"a['abs']","a['abs'] * 2","Equivalent","LLMorpheus"
"Complex.js","complex.js",231,243,28,"parseFloat","Number","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",909,989,38,"2 * a","2 * b","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",1050,1230,9,"Math.ceil","Math.abs","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",769,749,10,"Math.cos","Math.tan","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",1072,1244,9,"Math.floor","Math.ceil","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",723,730,9,"Math.cos","Math.acos","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",407,484,34,"Math.pow(b, z['re'])","Math.pow(b, z['re'] + 1)","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",529,555,23,"b","-b","Equivalent","LLMorpheus"
"Complex.js","complex.js",65,100,9,"a < b","a === b","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",1067,1243,9,"Math.floor","Math.round","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",293,334,11,"this['isInfinite']() && z['isInfinite']()","this['isInfinite']() || z['isInfinite']()","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",1010,1131,11,"b === 0","a + b === 0","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",728,730,23,"cosh","tanh","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",1178,1398,16,"this['isNaN']","this['isFinite']","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",1009,1131,11,"b === 0","a === 0","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",771,749,19,"a","-a","Equivalent","LLMorpheus"
"Complex.js","complex.js",1107,1273,9,"Math.abs","Math.floor","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",259,260,28,"parseFloat","Number","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",1036,1226,25,"10","0","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",1164,1368,41,"this['im']","this['re']","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",35,57,9,"-b > x || x > b","x > b || x < -b","Equivalent","LLMorpheus"
"Complex.js","complex.js",1194,1416,27,"Complex","Complex.prototype.isNaN = function () {
  return isNaN(this['re']) || isNaN(this['im']);
}","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",910,989,38,"2 * a","a + b","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",926,993,13,"cosh","acosh","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",784,812,13,"b === 1","b !== 1","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",737,731,18,"a","a * b","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",1002,1087,11,"noIM","noIM = false","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",373,437,11,"Math.abs","Math.ceil","Behavioral Change","LLMorpheus"
"Complex.js","complex.js",94,126,23,"_b","_a + _b","Equivalent","LLMorpheus"
