project,file,id,line,column,temperature,original,replacement,coding
Complex.js,complex.js,35,58,23,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,x,-x,Behavioral Change
Complex.js,complex.js,41,93,22,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,x,-x,Trivially Equivalent
Complex.js,complex.js,65,122,23,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,a,a + b,Behavioral Change
Complex.js,complex.js,66,122,23,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,a,a - b,Behavioral Change
Complex.js,complex.js,82,123,14,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,Math.abs,Math.floor,Behavioral Change
Complex.js,complex.js,83,123,14,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,Math.abs,Math.ceil,Behavioral Change
Complex.js,complex.js,84,123,14,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,Math.abs,Math.round,Behavioral Change
Complex.js,complex.js,86,123,23,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,b,a + b,Behavioral Change
Complex.js,complex.js,71,123,23,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,b,-b,Trivially Equivalent
Complex.js,complex.js,79,129,9,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,b === 0,b == 0,Trivially Equivalent
Complex.js,complex.js,80,129,9,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,b === 0,!b,Trivially Equivalent
Complex.js,complex.js,88,133,9,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,_a < 3000 && _b < 3000,_a < 2999 && _b < 2999,Unknown
Complex.js,complex.js,90,133,9,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,_a < 3000 && _b < 3000,"Math.max(_a, _b) < 3000",Trivially Equivalent
Complex.js,complex.js,112,172,27,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,a * a + b * b,a + b * b,Behavioral Change
Complex.js,complex.js,102,172,27,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,a * a + b * b,b * b + a * a,Trivially Equivalent
Complex.js,complex.js,129,190,15,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,'im' in a && 're' in a,'im' in a || 're' in a,Unknown
Complex.js,complex.js,124,190,15,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,'im' in a && 're' in a,a.hasOwnProperty('im') && a.hasOwnProperty('re'),Near Equivalent
Complex.js,complex.js,125,190,15,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,'im' in a && 're' in a,"Object.prototype.hasOwnProperty.call(a, 'im') && Object.prototype.hasOwnProperty.call(a, 're')",Near Equivalent
Complex.js,complex.js,113,190,15,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,'im' in a && 're' in a,'im' in a,Unknown
Complex.js,complex.js,115,193,22,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,'abs' in a && 'arg' in a,'abs' in a || 'arg' in a,Behavioral Change
Complex.js,complex.js,117,193,22,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,'abs' in a && 'arg' in a,'abs' in a || 'arg' in a && 're' in a,Unknown
Complex.js,complex.js,135,194,17,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,!Number.isFinite(a['abs']) && Number.isFinite(a['arg']),a['abs'] === Infinity && Number.isFinite(a['arg']),Near Equivalent
Complex.js,complex.js,139,194,18,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,Number.isFinite,Number.isInteger,Unknown
Complex.js,complex.js,149,199,22,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,'r' in a && 'phi' in a,'r' in a || 'phi' in a,Unknown
Complex.js,complex.js,159,200,61,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,a['phi'],a['phi'] + 1,Trivially Equivalent
Complex.js,complex.js,160,200,61,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,a['phi'],a['phi'] * 2,Trivially Equivalent
Complex.js,complex.js,147,200,61,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,a['phi'],a['phi'] + 1,Trivially Equivalent
Complex.js,complex.js,175,205,22,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,a.length === 2,a.length % 2 === 0,Unknown
Complex.js,complex.js,160,205,22,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,a.length === 2,a.length >= 2,Unknown
Complex.js,complex.js,159,205,22,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,a.length === 2,a.length <= 2,Unknown
Complex.js,complex.js,187,226,27,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,i < tokens.length,i != tokens.length,Trivially Equivalent
Complex.js,complex.js,175,226,27,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,i < tokens.length,i != tokens.length,Trivially Equivalent
Complex.js,complex.js,188,226,46,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,i++,i = i + 1,Trivially Equivalent
Complex.js,complex.js,189,226,46,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,i++,i += 1,Trivially Equivalent
Complex.js,complex.js,190,226,46,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,i++,i++ + 1,Unknown
Complex.js,complex.js,214,236,24,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,c === 'i' || c === 'I',c === 'i' || c === 'j',Behavioral Change
Complex.js,complex.js,200,236,24,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,c === 'i' || c === 'I',c == 'i' || c == 'I',Trivially Equivalent
Complex.js,complex.js,201,236,24,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,c === 'i' || c === 'I',c === 'i' || c === 'I' || c === 'j' || c === 'J',Behavioral Change
Complex.js,complex.js,185,236,24,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,c === 'i' || c === 'I',c == '\x69' || c == '\x49',Trivially Equivalent
Complex.js,complex.js,186,236,24,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,c === 'i' || c === 'I',c === '\x69' || c === '\x49',Trivially Equivalent
Complex.js,complex.js,216,243,39,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,(minus % 2 ? '-' : '') + tokens[i + 1],(minus % 2 ? '-' : '') + ('0' + tokens[i + 1]),Trivially Equivalent
Complex.js,complex.js,215,243,39,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,(minus % 2 ? '-' : '') + tokens[i + 1],(minus % 2 ? '-' : '') + (tokens[i + 1] || '0'),Unknown
Complex.js,complex.js,199,243,39,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,(minus % 2 ? '-' : '') + tokens[i + 1],(minus % 3 ? '-' : '') + tokens[i + 1],Behavioral Change
Complex.js,complex.js,233,246,28,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,parseFloat,parseInt,Unknown
Complex.js,complex.js,235,246,28,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,parseFloat,Math.floor,Behavioral Change
Complex.js,complex.js,234,246,28,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,parseFloat,Number,Unknown
Complex.js,complex.js,219,257,39,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,(minus % 2 ? '-' : '') + c,(minus % 3 ? '-' : '') + c,Behavioral Change
Complex.js,complex.js,319,392,11,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,z['im'] === 0 && this['im'] === 0,z['im'] === 0 && this['im'] === 0 && this['re'] === 0,Unknown
Complex.js,complex.js,291,392,11,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,z['im'] === 0 && this['im'] === 0,z['im'] === 2 && this['re'] === 0,Behavioral Change
Complex.js,complex.js,292,392,11,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,z['im'] === 0 && this['im'] === 0,this['im'] === 0 && z['re'] === 0,Behavioral Change
Complex.js,complex.js,320,411,11,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,(this['isZero']() && z['isZero']()) || (this['isInfinite']() && z['isInfinite']()),this['isZero'](z) && z['isZero'](z) || this['isInfinite'](z) && z['isInfinite'](z),Trivially Equivalent
